symbol,BNB,BTC,DASH,ETH,LTC
,close,close,close,close,close
timestamp,,,,,
2018-01-02 00:00:00.000,9.09039322406542,15321.9328517642,1194.63622895994,876.890258814416,255.048185035276
2018-01-03 00:00:00.000,9.886323100553348,15583.8855377593,1161.0020285088233,963.0557506903511,248.04219364630376
2018-01-04 00:00:00.000,9.675757666836406,15976.365194174,1177.1320888259083,978.416104183522,244.83437239359276
2018-01-05 00:00:00.000,16.488523208942993,18336.9229801691,1149.21114384721,1004.8949722625625,254.1385250810076
2018-01-06 00:00:00.000,24.369904809962087,18343.6624934071,1220.5137804803062,1052.02336010703,289.9300333581779
2018-01-07 00:00:00.000,19.342609184160256,17039.8739138488,1206.5815350149987,1137.6549188901813,278.97598168335605
2018-01-08 00:00:00.000,19.213160457388458,15900.3650216006,1134.7737169852383,1184.92393027798,263.7463834051953
2018-01-09 00:00:00.000,18.978822159045176,15604.7234082405,1176.5068460007888,1361.4396682787146,258.71996457839646
2018-01-10 00:00:00.000,18.074112986027988,15509.2701268168,1136.5930458805615,1345.5876017375906,253.7921714393668
2018-01-11 00:00:00.000,22.11006761076647,14050.5696063543,1040.703885727316,1181.6514100305303,233.34334721111807
2018-01-12 00:00:00.000,23.914921777474607,14759.294629915,1102.7361415937028,1315.6187580839762,246.19188649019114
2018-01-13 00:00:00.000,23.564984313112777,15193.3148979847,1154.9298916627804,1448.1800861342022,268.36811528589226
2018-01-14 00:00:00.000,21.993910234458383,14476.5889713691,1050.9275640553442,1410.0002145085193,247.8011550075546
2018-01-15 00:00:00.000,20.776410632506227,14411.9977069182,979.0225875829447,1329.6713965043375,241.1518060528049
2018-01-16 00:00:00.000,14.271789985128768,11723.9135206658,765.4089691423536,1068.6004106894156,189.47312838641994
2018-01-17 00:00:00.000,14.588799163558992,11415.3928442768,807.6516965404498,1022.3652131699663,188.9409013269934
2018-01-18 00:00:00.000,14.77328995370286,11569.4249920858,840.5797388179533,1036.072312788025,194.75533862933017
2018-01-19 00:00:00.000,15.378966128349079,11758.4693327652,857.4981392306627,1046.8985973958734,194.58350142038915
2018-01-20 00:00:00.000,16.82245256941068,13260.2711872786,951.9260233699952,1172.9172062239459,214.4069154795011
2018-01-21 00:00:00.000,14.401645763988126,11703.5048628599,828.8552826039959,1053.6332024800395,191.5864761882356
2018-01-22 00:00:00.000,13.183408210852003,10991.5950130802,767.6945935082166,1000.3871327788332,179.92105838110913
2018-01-23 00:00:00.000,13.16548379005424,10894.0009053405,761.1769469311037,991.665320638703,178.04211170597296
2018-01-24 00:00:00.000,13.555624316282572,11277.1159704489,784.7380656436918,1056.8792325682198,178.96961254775655
2018-01-25 00:00:00.000,13.241262926733073,11225.2544568853,795.018446389443,1059.3154960264808,179.06314382212614
2018-01-26 00:00:00.000,13.07623699156532,11044.9072365744,777.2004777873249,1048.7989058434846,175.06149796221538
2018-01-27 00:00:00.000,13.338049921339444,11456.2135062799,777.438798012232,1095.7825142892807,179.6483041294699
2018-01-28 00:00:00.000,13.509325087662313,11665.6969300847,812.8462696917668,1237.3241758467964,191.9302770791985
2018-01-29 00:00:00.000,12.714301970207767,11157.6638878978,765.4686082473115,1169.6342569193446,179.2810953229547
2018-01-30 00:05:11.070,,,,1161.9086430994253,
2018-01-30 00:05:17.080,12.730467919083532,,,,
2018-01-30 00:05:18.718,,11095.2106891266,,,
2018-01-30 00:05:19.489,,,,,177.68852897104085
2018-01-30 00:05:20.939,,,760.083400494124,,
2018-01-31 00:00:00.000,11.19699597843848,9989.68977659669,675.1791498147209,1058.0960529662955,163.53293484489572
2018-02-01 00:00:00.000,11.060884298912091,10114.495086226,694.4756776648577,1106.1381723552724,161.40740610710998
2018-02-02 00:00:00.000,9.325947142633932,9070.55544937356,613.19468913232,1021.2693786534147,141.66168195711376
2018-02-03 00:00:00.000,9.740629328382928,8830.16351005472,586.1312936069914,914.6388425021536,131.38437864518806
2018-02-04 00:00:00.000,9.507364513289662,8994.91486607664,623.7220957202277,941.8032295185238,154.25836575875746
2018-02-05 00:00:00.000,8.51527803867523,8315.51749143615,555.4746829814984,834.8891703333355,150.93136565392322
2018-02-06 00:00:00.000,6.713520258099269,6852.05270051491,442.9793690885514,684.3133397266745,122.64490593121053
2018-02-07 00:00:00.000,8.37781942694591,7711.2203289411,526.3791188341831,785.7389155049871,142.43933220906135
2018-02-08 00:05:15.199,8.109465512755529,,,,
2018-02-08 00:05:23.681,,,,751.8878893661607,
2018-02-08 00:05:28.226,,7611.61027778882,,,
2018-02-08 00:05:28.260,,,,,137.9204765035132
2018-02-08 00:05:28.638,,,523.2114899848877,,
2018-02-09 00:00:00.000,4.577203302245898,8208.57208449673,602.4105856009322,807.8227505154956,148.41948563885336
2018-02-10 00:00:00.000,9.747117769748963,8650.71675042998,634.0609026948422,871.3268829432668,161.6947813385785
2018-02-11 00:00:00.000,9.275482402921401,8574.67763849023,635.5134071150625,854.3498784217315,154.9247190879229
2018-02-12 00:00:00.000,8.83116796269266,8168.63777979963,587.4723147343086,817.2905243571003,151.2637896613063
2018-02-13 00:00:00.000,9.278863138737044,8911.3985742083,622.4102905199162,862.7487725902944,161.94280960057674
2018-02-14 00:00:00.000,8.922887308671653,8518.26907619091,598.9057381262471,833.7791837295838,157.89287775151092
2018-02-15 00:00:00.000,10.397779036617438,9428.02560716167,679.781084703761,915.0765430188819,213.36148733637165
2018-02-16 00:00:00.000,10.87209362186023,10112.5801434467,703.5240774556272,928.2935214045194,222.37258406353027
